Timestamp,I have good working relationships with my co-workers.,There is good communication between me and my supervisor. ,Conflicts are resolved in a positive and constructive manner.,I feel favoritism is not a problem in my department.,My Supervisor works to improve communications in all directions and does a good job of sharing information. ,My skills and abilities match the work I do.,I look for another job outside the company. ,The management at Varks.am cares about employees․ ,Varks.am focuses on providing excellent customer service.,The pay at Varks.am is competitive to that of similar organizations.,My work arrangements allow me to balance my personal life with my work.,"Overall, I am satisfied with my work. ",My current workplace is close to where I live.,"If I get non-monetary rewards (such as insurance, training, ""best employee of the month"" reward), I will feel satisfied and will work harder.","If I get monetary bonuses when I serve more customers, I will feel satisfied and work harder.",I will recommend a friend/relative to work at Varks.am․,I will recommend a friend/relative to use Varks.am services in case of a loan need.,I foresee myself working here one year from now.,I feel stressed at work.,Things that will motivate me to stay,I enjoy coming to work. ,Reasons why I want to stay here.
2017/11/24 3:32:37 PM GMT+4,Strongly Agree,Agree ,Agree,Disagree ,Agree,Strongly agree,Strongly disagree ,Strongly agree,Agree,Agree,Agree,Agree ,Yes,Strongly agree ,,10,5,Yes,,,Strongly agree,Fair Pay;Flexible working hours;Good working staff 
2017/11/24 3:38:28 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Disagree  ,Strongly disagree ,Disagree ,Agree,Agree,Agree,Agree ,No,,Strongly agree,9,9,Yes,,,Agree,Fair Pay;Good working staff;Good communication with my supervisor
2017/11/24 3:45:37 PM GMT+4,Strongly Agree,Strongly agree,Disagree,Strongly agree ,Agree,Strongly agree,Strongly disagree ,Disagree ,Agree,Disagree,Agree,Agree ,Yes,,,10,10,Yes,,,Agree,Good working staff;Good communication with my supervisor ;I love communicating with customers
2017/11/24 3:46:14 PM GMT+4,Strongly Agree,Strongly agree,Agree,Strongly agree ,Strongly agree,Strongly agree,Strongly disagree ,Strongly agree,Strongly Agree ,Agree,Agree,Strongly agree,Yes,Strongly agree ,,10,5,Yes,,,Strongly agree,Good working staff ;Good communication with my supervisor ;Promotion opportunities 
2017/11/24 3:47:50 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree ,Agree ,Strongly Agree ,Strongly agree,Strongly agree ,Agree ,No,,Strongly agree,8,8,Yes,,,Strongly agree,I love communicating with customers 
2017/11/24 3:55:40 PM GMT+4,Agree,Agree ,Agree,Disagree ,Disagree ,Agree,Disagree ,Agree ,Agree,Strongly agree,Agree,Strongly agree,No,,,10,9,Yes,,,Agree,Promotion opportunities
2017/11/24 3:55:47 PM GMT+4,Strongly Agree,Agree ,Agree,Disagree ,Agree,Agree,Strongly disagree ,Agree ,Strongly Agree ,Agree,Agree,Agree ,No,,Strongly agree,8,7,Yes,,,Strongly disagree,"Fair Pay;Flexible working hours ;Good working staff;Promotion opportunities;I love communicating with customers ;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV."
2017/11/24 4:03:49 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Strongly agree,Disagree ,Agree ,Agree,Agree,Agree,Agree ,Yes,Agree,,6,5,Yes,,,Agree,Fair Pay;Location of the branch 
2017/11/24 4:14:29 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Disagree ,Agree,Strongly agree,Disagree ,Strongly agree,Agree,Agree,Disagree,Strongly agree,Yes,Agree,,10,10,Yes,,,Agree,Fair Pay;Location of the branch ;Good working staff;I love communicating with customers 
2017/11/24 4:41:04 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Disagree  ,Disagree ,Agree ,Agree,Agree,Agree,Agree ,No,,Agree ,8,5,Yes,,,Agree,"Good working staff ;Good communication with my supervisor ;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV"
2017/11/24 4:41:14 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Disagree  ,Disagree ,Agree ,Agree,Agree,Agree,Agree ,No,,Agree ,8,5,Yes,,,Agree,"Good working staff ;Good communication with my supervisor;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV"
2017/11/24 4:42:23 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Disagree  ,Disagree ,Agree ,Agree,Agree,Agree,Agree ,No,,Agree ,8,5,Yes,,,Agree,"Good working staff ;Good communication with my supervisor ;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV."
2017/11/24 5:01:40 PM GMT+4,Strongly Agree,Strongly agree,Agree,Disagree ,Agree,Disagree  ,Disagree ,Agree ,Disagree ,Agree,Disagree,Agree ,No,,Strongly agree,10,7,Yes,,,Agree,Fair Pay;Good working staff ;Promotion opportunities 
2017/11/24 5:15:45 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree ,Agree ,Agree,Agree,Agree,Agree ,Yes,Agree,,10,8,Yes,,,Strongly agree,Location of the branch;Good communication with my supervisor ;Promotion opportunities ;I love communicating with customers
2017/11/24 5:48:05 PM GMT+4,Strongly Agree,Agree ,Agree,Agree,Agree,Agree,Agree ,Disagree ,Strongly Agree ,Agree,Agree,Agree ,No,,Agree ,8,5,Yes,,,Agree,"Fair Pay;Good working staff ;Promotion opportunities ;I love communicating with customers;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV."
